"PubmedID","Title","Publication Date","Non-academic Author(s)","Company Affiliation(s)","Corresponding Author Email"
"40066659","Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.","2025","[]","[]",""
"40066641","A NAC transcription factor and a MADS-box protein antagonistically regulate sucrose accumulation in strawberry receptacles.","2025","[]","[]",""
"40066599","Insights from traditional fermented legumes towards the innovation of modern plant-based meat analogues.","2025","[]","[]",""
"40066576","Advantages and drawbacks of eco-friendly nano-delivery systems.","2025","[]","[]",""
"40066527","Patulin Detoxification by Evolutionarily Divergent Reductases of ","2025","[]","[]",""
"40066485","Highly Stable, Excellent Foliar Adhesion and Anti-Photodegradation Nucleic Acid-Peptide Coacervates for Broad Agrochemicals Delivery.","2025","[]","[]",""
"40066462","Exploring the plant growth promoting attributes of pteridophyte-associated microbiome for agricultural sustainability.","2025","[]","[]",""
"40066459","Genome-wide identification and expression analysis of ","2025","[]","[]",""
"40066361","There and turn back again: the application of phage serine integrases in eukaryotic systems.","2025","[]","[]",""
"40066358","Teff Yield and Nutrient Uptake Partitioning During Prolonged Waterlogging: A Preliminary Greenhouse Study.","2025","[]","[]",""
